gso_code,era,name_vi,wikidata_qid,description_en,description_vi
01,pre2025,Thành phố Hà Nội,Q1858,capital of Vietnam,thủ đô Việt Nam
02,pre2025,Tỉnh Hà Giang,Q36685,former province of Vietnam,tỉnh cũ thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam
04,pre2025,Tỉnh Cao Bằng,Q36865,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
06,pre2025,Tỉnh Bắc Kạn,Q36404,Former province of Vietnam,tỉnh cũ thuộc vùng Đông Bắc Bộ của Việt Nam
08,pre2025,Tỉnh Tuyên Quang,Q2332060,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam
10,pre2025,Tỉnh Lào Cai,Q36446,province of Vietnam,tỉnh thuộc vùng Tây Bắc Bộ của Việt Nam
11,pre2025,Tỉnh Điện Biên,Q36955,province of Vietnam,tỉnh nằm ở khu vực Tây Bắc Bộ của Việt Nam
12,pre2025,Tỉnh Lai Châu,Q36409,province of Vietnam,tỉnh thuộc vùng Tây Bắc Bộ của Việt Nam
14,pre2025,Tỉnh Sơn La,Q33379,province in the Northwest region of Vietnam,tỉnh thuộc vùng Tây Bắc Bộ của Việt Nam
15,pre2025,Tỉnh Yên Bái,Q36349,former province of Vietnam,tỉnh cũ thuộc vùng Tây Bắc Bộ của Việt Nam
17,pre2025,Tỉnh Hoà Bình,Q36015,former province of Vietnam,tỉnh cũ thuộc vùng Tây Bắc Bộ của Việt Nam
19,pre2025,Tỉnh Thái Nguyên,Q26575,province in northeastern Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
20,pre2025,Tỉnh Lạng Sơn,Q33403,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
22,pre2025,Tỉnh Quảng Ninh,Q33396,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Hồng của Việt Nam
24,pre2025,Tỉnh Bắc Giang,Q36367,former province of Vietnam,tỉnh cũ thuộc vùng Đông Bắc Bộ của Việt Nam
25,pre2025,Tỉnh Phú Thọ,Q36610,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
26,pre2025,Tỉnh Vĩnh Phúc,Q27566,former province in Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Hồng của Việt Nam
27,pre2025,Tỉnh Bắc Ninh,Q33408,province of Vietnam,tỉnh thuộc vùng Đồng bằng Sông Hồng của Việt Nam
30,pre2025,Tỉnh Hải Dương,Q36729,former province of Vietnam,tỉnh cũ thuộc khu vực Đồng bằng Sông Hồng của Việt Nam
31,pre2025,Thành phố Hải Phòng,Q72818,municipality of Vietnam,thành phố trực thuộc trung ương Việt Nam
