local_id,terminal_code,name_vi,parent_code,wikidata_qid,qid_status,match_status
d-001-base,001,Quận Ba Đình,01,Q890194,existing,matched
d-002-base,002,Quận Hoàn Kiếm,01,Q1134529,existing,matched
d-003-base,003,Quận Tây Hồ,01,Q1048642,existing,matched
d-004-base,004,Quận Long Biên,01,Q864802,existing,matched
d-005-base,005,Quận Cầu Giấy,01,Q267015,existing,matched
d-006-base,006,Quận Đống Đa,01,Q1048634,existing,matched
d-007-base,007,Quận Hai Bà Trưng,01,Q1134523,existing,matched
d-008-base,008,Quận Hoàng Mai,01,Q864747,existing,matched
d-009-base,009,Quận Thanh Xuân,01,Q864779,existing,matched
d-016-base,016,Huyện Sóc Sơn,01,Q5370348,existing,matched
d-017-base,017,Huyện Đông Anh,01,Q864787,existing,matched
d-018-base,018,Huyện Gia Lâm,01,Q1134500,existing,matched
d-019-base,019,Huyện Từ Liêm,01,Q864791,existing,matched
d-020-base,020,Huyện Thanh Trì,01,Q4403404,existing,matched
d-024-base,024,Thành phố Hà Giang,02,Q36519,existing,matched
d-026-base,026,Huyện Đồng Văn,02,Q5295775,existing,matched
d-027-base,027,Huyện Mèo Vạc,02,Q1957648,existing,matched
d-028-base,028,Huyện Yên Minh,02,Q8052191,existing,matched
d-029-base,029,Huyện Quản Bạ,02,Q7268823,existing,matched
d-030-base,030,Huyện Vị Xuyên,02,Q7924334,existing,matched
d-031-base,031,Huyện Bắc Mê,02,Q4838560,existing,matched
d-032-base,032,Huyện Hoàng Su Phì,02,Q13636329,existing,matched
d-033-base,033,Huyện Xín Mần,02,Q374062,existing,matched
d-034-base,034,Huyện Bắc Quang,02,Q4838562,existing,matched
d-035-base,035,Huyện Quang Bình,02,Q7268847,existing,matched
d-040-base,040,Thành phố Cao Bằng,04,Q1034096,existing,matched
d-042-base,042,Huyện Bảo Lâm,04,Q10743246,existing,matched
d-043-base,043,Huyện Bảo Lạc,04,Q4857420,existing,matched
d-044-base,044,Huyện Thông Nông,04,Q7795955,existing,matched
d-045-base,045,Huyện Hà Quảng,04,Q2647812,existing,matched
d-046-base,046,Huyện Trà Lĩnh,04,Q7831042,existing,matched
d-047-base,047,Huyện Trùng Khánh,04,Q7847960,existing,matched
d-048-base,048,Huyện Hạ Lang,04,Q5636438,existing,matched
d-049-base,049,Huyện Quảng Hòa,04,Q16481406,existing,matched
d-050-base,050,Huyện Phục Hoà,04,Q7188287,existing,matched
d-051-base,051,Huyện Hoà An,04,Q5874226,existing,matched
d-052-base,052,Huyện Nguyên Bình,04,Q7022776,existing,matched
d-053-base,053,Huyện Thạch An,04,Q7708868,existing,matched
d-058-base,058,Thành Phố Bắc Kạn,06,Q75700,existing,matched
d-060-base,060,Huyện Pác Nặm,06,Q616369,existing,matched
d-061-base,061,Huyện Ba Bể,06,Q1124233,existing,matched
d-062-base,062,Huyện Ngân Sơn,06,Q3711242,existing,matched
d-063-base,063,Huyện Bạch Thông,06,Q3710674,existing,matched
d-064-base,064,Huyện Chợ Đồn,06,Q800052,existing,matched
d-065-base,065,Huyện Chợ Mới,06,Q800087,existing,matched
