local_id,terminal_code,name_vi,loai_hinh,parent_code,valid_from,valid_to,wikidata_qid,qid_status,match_status,candidate_qids,match_notes
w-00004-2025-07-01,00004,Phường Ba Đình,Phường,01,2025-07-01,,Q135651473,existing,matched,Q10736920|Q10736959|Q10736962|Q11839350|Q135651473,qlever-label+current-province+batched-wbgetentities
w-00006-2005-01-20,00006,Phường Vĩnh Phúc,Phường,001,2005-01-20,2025-06-30,,,deferred-historical,,
w-00008-2005-01-20,00008,Phường Liễu Giai,Phường,001,2005-01-20,2025-06-30,,,deferred-historical,,
w-00008-2025-07-01,00008,Phường Ngọc Hà,Phường,01,2025-07-01,,Q10800604,existing,matched,Q10800604|Q10800606|Q10800608,qlever-label+current-province+batched-wbgetentities
w-00025-2025-07-01,00025,Phường Giảng Võ,Phường,01,2025-07-01,,Q10761913,existing,matched,Q10761913,qlever-label+current-province+batched-wbgetentities
w-00070-2025-07-01,00070,Phường Hoàn Kiếm,Phường,01,2025-07-01,,Q135470900,existing,matched,Q135470900,qlever-label+current-province+batched-wbgetentities
w-00082-2025-07-01,00082,Phường Cửa Nam,Phường,01,2025-07-01,,Q10752772,existing,matched,Q10752772|Q10752773,qlever-label+current-province+batched-wbgetentities
w-00091-2025-07-01,00091,Phường Phú Thượng,Phường,01,2025-07-01,,,,needs-review,Q10806099|Q10806100|Q10806101,"3 label candidate(s), but no bulk P131 resolves to the current province"
w-00097-2025-07-01,00097,Phường Hồng Hà,Phường,01,2025-07-01,,Q134437701,existing,matched,Q10772121|Q10772123|Q10772126|Q16481326|Q134437701,broad-exact-vi+current-province+ward-class+batched-wbgetentities
w-00103-2025-07-01,00103,Phường Tây Hồ,Phường,01,2025-07-01,,,,needs-review,Q10831051,"1 label candidate(s), but no bulk P131 resolves to the current province"
w-00118-2025-07-01,00118,Phường Bồ Đề,Phường,01,2025-07-01,,Q10743634,existing,matched,Q10743631|Q10743634,qlever-label+current-province+batched-wbgetentities
w-00127-2025-07-01,00127,Phường Việt Hưng,Phường,01,2025-07-01,,Q10832831,existing,matched,Q10832825|Q10832826|Q10832830|Q10832831|Q10832832|Q10832833|Q16480746,qlever-label+current-province+batched-wbgetentities
w-00136-2025-07-01,00136,Phường Phúc Lợi,Phường,01,2025-07-01,,Q10806226,existing,matched,Q10806226|Q10806228,qlever-label+current-province+batched-wbgetentities
w-00145-2025-07-01,00145,Phường Long Biên,Phường,01,2025-07-01,,Q16480224,existing,matched,Q16480224,qlever-label+current-province+batched-wbgetentities
w-00151-2004-06-30,00151,Phường Phúc Đồng,Phường,004,2004-06-30,2025-06-30,,,deferred-historical,,
w-00160-2025-07-01,00160,Phường Nghĩa Đô,Phường,01,2025-07-01,,Q10798880,existing,matched,Q10798879|Q10798880,qlever-label+current-province+batched-wbgetentities
w-00166-2025-07-01,00166,Phường Cầu Giấy,Phường,01,2025-07-01,,Q137570783,existing,matched,Q137570783,qlever-label+current-province+batched-wbgetentities
w-00167-2005-01-20,00167,Phường Dịch Vọng Hậu,Phường,005,2005-01-20,2025-06-30,,,deferred-historical,,
w-00175-2025-07-01,00175,Phường Yên Hòa,Phường,01,2025-07-01,,,,needs-review,Q3943148|Q10837996|Q10838003|Q10838004|Q10838005|Q10838006|Q10838008|Q32595235|Q32595268,"9 label candidate(s), but no bulk P131 resolves to the current province"
w-00190-2025-07-01,00190,Phường Ô Chợ Dừa,Phường,01,2025-07-01,,Q30923306,existing,matched,Q30923306,qlever-label+current-province+batched-wbgetentities
w-00199-2025-07-01,00199,Phường Láng,Phường,01,2025-07-01,,,,needs-review,Q10788170,"1 label candidate(s), but no bulk P131 resolves to the current province"
w-00226-2025-07-01,00226,Phường Văn Miếu - Quốc Tử Giám,Phường,01,2025-07-01,,Q10833399,existing,matched,Q10833399,qlever-label+current-province+batched-wbgetentities
w-00229-2025-07-01,00229,Phường Kim Liên,Phường,01,2025-07-01,,Q10779914,existing,matched,Q1320497|Q10779914,qlever-label+current-province+batched-wbgetentities
w-00235-2025-07-01,00235,Phường Đống Đa,Phường,01,2025-07-01,,,,needs-review,Q10841878|Q10841879|Q10841880,"3 label candidate(s), but no bulk P131 resolves to the current province"
